# 2dFGRS final data set: Cole et al. 2004
# k[hMpc^-1] 2dFGRS_P(k)[h^-3Mpc^3] 2dFGRS_sig[h^-3Mpc^3] fiducial_P(k)[h^-3Mpc^3]
0.0221168   41707.4 8278.14 21833.5 
0.0261381   35455.9 6796.09 21450.3 
0.0301593   30056.7 5541.58 20782.8 
0.0341805   27285   4573.74 19955.1 
0.0382018   24382.4 3868.88 19046.6 
0.042223    20925.1 3299.47 18107.7 
0.0462442   22258.8 2917.19 17170.8 
0.0502655   22548.1 2547.02 16255.7 
0.0542867   19250.6 2223.59 15374.8 
0.058308    18341.8 2000.08 14534.9 
0.0623292   17345.6 1803.63 13739.4 
0.0663504   16451.1 1609.15 12989.6 
0.0703717   15185.8 1444.7  12285   
0.0743929   14757   1312.91 11624.5 
0.0784141   13493.6 1199.68 11006.1 
0.0824354   12801.6 1088.36 10427.6 
0.0864566   11667.1 983.898 9886.8  
0.0904779   10519.2 878.597 9381.24 
0.0944991   10092.9 806.479 8908.6  
0.0985203   9047.74 758.656 8466.6  
0.102542    8344.95 720.583 8053.04 
0.106563    8212.02 686.879 7665.98 
0.110584    8169.45 647.823 7303.43 
0.114605    8159.86 607.515 6963.61 
0.118626    7875.62 576.358 6644.86 
0.122648    7311.92 547.186 6345.57 
0.126669    7013.12 510.5   6064.46 
0.13069 6864.6  485.08  5800.16 
0.134712    6214.29 456.865 5551.39 
0.138733    5736.34 434.629 5317.16 
0.142754    5469.52 411.773 5096.38 
0.146775    5222.81 388.769 4888.12 
0.150796    5030.2  369.8   4691.49 
0.154818    4954    353.809 4505.66 
0.168892    4624.78 309.728 3930.64 
0.184977    3938.12 269.241 3391.98 
